项目	题号	任务类型	功能点关键词	日期
dl_04	4	0-1代码生成	差速器匹配与扭矩分配（锁止扭矩按预载+锁止率×转速差与输入扭矩响应封顶、左右扭矩分配与轮上驱动力对照附着极限、入弯出弯特性与调整方向 + 预载/锁止率超范围与内轮打滑点名、六款内置差速器库与增删）	09-13
dl_04	4（第 2 轮）	Bug修复	差速器面板默认值跟随类型（diffDefaults 取可用范围中点 + 加载与切换时同步输入框、档案库刷新不覆盖用户输入；六款内置默认值全部落在区间内）	09-13
dl_04	5	Feature迭代	制动盘温连续多圈趋势（逐圈净温升/峰值/圈末、进入热衰退的圈数、冷却圈时机与压回安全区圈数 + 越线超多少度与连续两圈净温变为正的逐圈点名）	09-13
dl_04	6	0-1代码生成	弹簧与减振器匹配（四轮簧上/簧下固有频率、阻尼比与临界阻尼、低速 1.0 与高速 1.5 m/s 两段压缩回弹阻尼力、前后轴频率比与平衡调整方向 + 频率超区间/阻尼比偏低/压缩回弹失衡/左右不一致/高速压缩力超限点名、弹簧与减振器库）	09-13
dl_04	6（第 2 轮）	Bug修复	阻尼比口径改按方向分别算再取平均（旧默认值正确报警平均 0.153、压缩 0.102、回弹 0.205；检查文案写明口径，内置减振器库与页面默认值同步调到健康值）	09-13
dl_04	7	Feature迭代	翼片档位选型（枚举前翼乘尾翼组合、按车速区间算阻力/前后下压力/气动平衡与弯中下压力、按平衡区间与阻力上限筛可行组合、升阻比推荐与极速抓地取舍、违规组合点名）	09-13
dl_04	7（第 2 轮）	Bug修复	翼片档位选型接进产品（/api/aero/wing 加校验与接口、页面加前后翼档位文本框与结果卡片、接口与页面入口用例、新增 panels 渲染用例）	09-13
dl_04	8	Feature迭代	压载配置求解（按目标前轴荷占比或目标交叉重量枚举各压载位片数、增删明细与调整后四轮角重与前后左右交叉比例、压载不足时给出缺口 kg、需减重时先列拆卸项；压载位规格校验）	09-14
dl_04	9	0-1代码生成	制动液压与踏板配置（踏板力经杠杆比与平衡杆分到前后总泵、管路压力与卡钳夹紧力与制动力矩与整车减速度与前后分配比、目标分配反推平衡杆占比或总泵口径 + 踏板力/管路压力/单轴锁止点名、六款总泵与六款卡钳规格库）	09-14
dl_04	10	Feature迭代	赛前胎压预设（按目标热胎压与预期涨幅反推基础冷胎压、按环境温度做绝对压力修正、按轮胎类别叠加前后与左右差值与暖胎圈数 + 目标热压与涨幅区间点名、四胎冷胎压表）	09-14
dl_04	11	0-1代码生成	冷却系统热平衡（发动机发热量与冷却液环温差、散热器能力与余量、达标所需面积与风速、环境温升后的稳态水温 + 余量为负/环温差越界/目标水温越界点名、散热器与冷却液规格库）	09-14
dl_04	12	Feature迭代	悬挂调整方向求解（按目标前轴侧倾刚度占比或目标侧倾角，在弹簧与防倾杆可调档位内枚举组合，给出要调的部件与目标档位、调整后的分配与侧倾角与载荷转移、转向特性移动方向；目标超可调范围与调完仍在中性区外分别点名 + 正常/超范围/已达上限三类测试）	09-14
dl_04	13	0-1代码生成	悬架几何与侧倾中心校核（由上下摆臂硬点求瞬时中心、主销接地点与偏移距、侧倾中心高度、侧倾轴倾角、按前后侧倾刚度分摊侧倾力矩 + 瞬时中心出轮距/侧倾中心高于重心/侧倾轴倾角超限点名、可增删悬架几何库）	09-14
dl_04	13（第 2 轮）	Bug修复	悬架几何校核接进工作台页面（几何校核区选几何与填质量与侧向加速度、前后轴主销偏移距与瞬时中心与侧倾中心高度与侧倾轴倾角与力矩分摊对照表、按前后轴点名不通过项 + 几何档案库列表与增删 + 页面用例 test/page.test.js）	09-14
dl_04	14	Feature迭代	轮胎磨耗与寿命估算（逐圈胎温/滑移/热胎压折算磨耗倍数与有效磨耗、按当前深度算剩余圈数、按赛段反推换胎套数与每套寿命占比、长时间超窗口按胎温或胎压分别点名、可增删磨耗规格库 + 页面逐圈记录输入与磨耗明细表）	09-14
dl_04	15	0-1代码生成	赛事规则与性能平衡校核（按堵塞流常数算限流空气质量流量与限流功率、燃油流量另折一条功率取小得平衡功率、按功重比平方根给圈速增量与扭矩修正、总质量与组别最低重量比对给配重与位置建议、四类越界逐条点名 + 可增删组别规则库与页面赛事规则面板）	09-14
dxy-001	1	0-1代码生成	一键整理自动布局：按连线分层 / 同层展开降交叉 / 多块分离不重叠 / 居中落区 / 可撤销	09-14
dxy-001	2	Feature迭代	连线自动绕行：被挡时在正交可见图上重选线 / 障碍外扩 12px 保净距 / 拐弯与换锚点计入代价 / 围死回退直连	09-14
dxy-001	3	0-1代码生成	评论与批注模块：节点与连线挂评论 / 回复与标记已解决 / 图元被删后进已失效分组保留原文 / 点评论定位并临时高亮 / 未解决计数贯穿文档列表与编辑器	09-14
dxy-001	4	Feature迭代	节点分组：框选成组 / 整组拖动 / 范围提示 / 折叠收起内部连线 / 展开还原 / 解散留原地 / 持久化 / 撤销	09-14
dxy-001	5	0-1代码生成	模板库与新建文档向导：白板从模板新建（审批流 / 发布流程 / 故障处理）/ 模板自带节点与连线 / 模板库独立页面	09-14
dxy-001	6	Feature迭代	版本历史与回滚：每次保存留快照 / 历史面板按时间倒序列出（保存时间 / 节点数 / 连线数）/ 预览与回滚	09-14
dxy-001	7	0-1代码生成	画布导出与只读分享：导出图片下载 / 尺寸随内容自适应 / 背景与留白 / 只读分享链接	09-14
dxy-001	8	Feature迭代	连线批量样式与标签排版：框选或全选多条连线一次改线型颜色粗细 / 连线标签放起点中点终点	09-14
dxy-001	9	Feature迭代	自动保存与保存状态：改动画布后后台自动存 / 工具栏显示最近保存时间 / 保存失败或断网提示与重试	09-14
dxy-001	10	Feature迭代	节点搜索与定位：顶部搜索框按节点文案模糊查找 / 结果按匹配度排序并显示位置 / 点击定位到画布	09-14
dxy-001	3（第 2 轮）	Bug修复	未解决评论计数口径统一：列表页摘要与编辑器面板都排除挂在已删图元上的评论	09-14
dxy-001	4（第 2 轮）	Bug修复	分组清洗改两阶段登记：被丢弃的组不再占用成员，避免连带丢弃后续能成立的组	09-14
dxy-001	11	0-1代码生成	文档标签与筛选模块：标签增删改 / 多选标签与筛选 / 结果数实时更新 / 未分类归档 / 旧数据兼容	09-14
dxy-001	12	0-1代码生成	协作在线状态模块：在线成员与光标位置 / 心跳超时自动下线 / 同一成员去重 / 主动离场接口	09-14
dxy-001	13	Feature迭代	画布小地图与视口导航：缩略视图与视口框 / 拖动与点击居中 / 节点多时保持可读 / 窗口变化跟随	09-14
dxy-001	14	0-1代码生成	文档回收站模块：软删除进回收站 / 按删除时间从新到旧 / 恢复后原样打开 / 彻底删除	09-14
dxy-001	15	0-1代码生成	画布便签模块：添加与拖动 / 改文字与颜色 / 按宽度自动换行 / 随文档保存并撤销	09-14
dxy-001	16	Feature迭代	标尺与对齐参考线：上下与左侧刻度 / 拖动标出位置 / 对齐参考线与轻微吸附 / 随平移缩放换算	09-14
